Timestamp;Do diagrams include all necessary classes?;Do diagrams include all necessary relations?;Do diagrams include all necessary multiplicities?;Are class attributes correctly represented?;Are class operations correctly represented?;Are simple associations correctly represented?;Are aggregation relations among classes correctly represented?;Are composition relations among classes correctly represented?;Are generalisation relations correctly represented?;Are multiplicities in the relations among classes correctly represented?;Are roles in the relations among classes correctly represented?;Are class names meaningful?;If relations are labeled, are their names meaningful?;If roles appear in relations, are their names meaningful?;If multiplicities appear in relations, are they correct?;Does ChatGPT always generate the same result for the same prompt?;If the answer to the previous question is “No”, what elements change?;How many attempts were required to achieve a satisfactory solution?;Do you think that ChatGPT is an adequate tool to generate useful models?;Do you consider ChatGPT a useful tool to learn class diagram modeling?;Do you believe that building a class diagram using ChatGPT (with the necessary corrections) entails more effort than doing it manually?;Do you believe that the tool should be improved to provide better diagrams, faster?;If you answered “Agree” or “Completely Agree” in the previous question, which aspects should be improved?;Other comments
2023/03/15 10:41:36 a. m. EET;Almost always;Almost always;Almost always;Almost always;Almost always;Always;Almost never;Almost never;Almost never;Sometimes;Almost never;Almost always;Sometimes;Sometimes;Sometimes;No;"attributes;operations;relations";4;Agree;Completely agree;Disagree;Do not agree nor disagree;;
2023/03/16 3:24:17 a. m. EET;Always;Always;Always;Always;Always;Almost always;Almost always;Almost always;Almost always;Sometimes;Almost never;Almost always;Sometimes;Sometimes;Sometimes;No;"relations;multiplicities";More than 5;Agree;Agree;Disagree;Agree;La interpretación al lenguaje de esta materia. Pero teniendo en cuenta la temprana edad de esta herramienta y la inmensidad lenguaje y de otras acciones que realiza, es entendible que no pueda interpretar exactamente cada instrucción como queremos que lo haga.;La práctica ha sido muy entretenida y me ha ayudado tanto a entender esta herramienta como es ChatGPT, como a afianzar los conocimientos de la materia impartida en clase.
2023/03/17 7:31:24 p. m. EET;Always;Sometimes;Almost never;Almost always;Almost always;Almost never;Almost never;Almost never;Almost never;Sometimes;Never;Always;Almost always;Sometimes;Almost never;No;"Classes;attributes;operations;relations;multiplicities";More than 5;Do not agree nor disagree;Agree;Completely agree;Completely agree;Debería de mejorarse sobre todo a la hora de determinar las relations y multiplicities, ya que le cuesta entender de qué tipo de relación se trata a no ser que se la especifiques exactamente cuál quieres, y hay veces que aun así no la pone exacta.;
2023/03/18 1:18:30 p. m. EET;Always;Almost always;Always;Almost never;Sometimes;Almost always;Never;Almost never;Almost always;Never;Never;Always;;;Never;No;"Classes;attributes;operations;relations;Roles;multiplicities";More than 5;Completely disagree;Disagree;Completely agree;Agree;Especialmente el tipo de relations que establece entre Classes, así como su cardinalidad;
2023/03/19 6:17:53 p. m. EET;Almost always;Sometimes;Almost never;Sometimes;Sometimes;Almost never;Almost never;Almost never;Almost never;Almost never;Almost always;Almost always;Sometimes;Sometimes;Almost never;No;"attributes;relations;multiplicities";More than 5;Disagree;Agree;Completely agree;Agree;Las asociaciones y las multiplicities;Suele dar una aproximación al problema, pero para corregirlo en algunos casos necesita muchas iteraciones y a lo mejor se ponen mal otras partes.
2023/03/24 2:54:01 p. m. EET;Always;Sometimes;Sometimes;Almost always;Almost always;Sometimes;Almost never;Never;Sometimes;Sometimes;Almost never;Always;Almost always;Almost always;Sometimes;No;"operations;relations;multiplicities";4;Do not agree nor disagree;Agree;Disagree;Agree;El tema de las multiplicities y relations ;Es una herramienta buena para no partir de 0, pero tampoco te puedes fiar al 100 por 100 de todo lo que pone chatGPT porque no es correcto
2023/03/25 2:55:46 p. m. EET;Always;Always;Always;Almost always;Almost always;Always;Almost always;Almost always;Almost always;Sometimes;Almost always;Always;Always;Always;Almost never;No;"Classes;attributes;relations;Roles;multiplicities";More than 5;Do not agree nor disagree;Disagree;Agree;Completely agree;Sobre todo las multiplicities porque las confunde muy fácilmente;
2023/03/25 9:09:28 p. m. EET;Always;Always;Sometimes;Almost always;Sometimes;Almost always;Almost never;Never;Almost never;Sometimes;Sometimes;Always;Almost always;Sometimes;Almost always;No;"Classes;operations;relations;multiplicities";4;Agree;Agree;Do not agree nor disagree;Do not agree nor disagree;;
2023/03/27 11:05:15 a. m. EET;Almost always;Sometimes;Almost never;Almost always;Sometimes;Almost always;Sometimes;Sometimes;Sometimes;Almost never;Almost never;Always;Sometimes;Sometimes;Almost never;No;"relations;Roles;multiplicities";More than 5;Disagree;Do not agree nor disagree;Agree;Completely agree;Debería mejorarse bastante la comprensión del bot, ya que muchas veces es necesario reformular el mensaje escrito para que sea entendido mejor y aún así en multitud de ocasiones no llega a la respuesta que queremos.;
2023/03/27 12:57:00 p. m. EET;Always;Almost always;Sometimes;Almost always;Almost always;Sometimes;Sometimes;Sometimes;Sometimes;Sometimes;Sometimes;Almost always;Almost always;Almost always;Sometimes;No;"Classes;relations;Roles;multiplicities";5;Completely agree;Completely agree;Disagree;Completely agree;Debería de evitar generar relations dobles, corregir bien el tipo de relations que se piden y no poner Classes redundantes.;
